Name,Author,User Rating,Reviews,Year,Genre,Price
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,2009,Non Fiction,18.0
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,2009,Non Fiction,12.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,2009,Non Fiction,24.0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,2009,Non Fiction,53.0
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,2009,Fiction,11.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,2009,Non Fiction,6.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,2009,Non Fiction,9.0
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,2009,Fiction,16.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2009,Fiction,2.0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,2009,Fiction,10.0
The Help,Kathryn Stockett,4.8,13871,2009,Fiction,6.0
The Last Lecture,Randy Pausch,4.7,4028,2009,Non Fiction,9.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,2009,Fiction,7.0
The Lost Symbol,Dan Brown,4.2,8747,2009,Fiction,19.0
The Love Dare,Stephen Kendrick,4.8,1655,2009,Non Fiction,13.0
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,2009,Fiction,8.0
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,2009,Fiction,6.0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,2009,Non Fiction,9.0
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,2009,Fiction,82.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,2009,Non Fiction,11.0
True Compass: A Memoir,Edward M. Kennedy,4.5,438,2009,Non Fiction,15.0
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,2009,Fiction,9.0
Under the Dome: A Novel,Stephen King,4.3,6740,2009,Fiction,20.0
Watchmen,Alan Moore,4.8,3829,2009,Fiction,42.0
Where the Wild Things Are,Maurice Sendak,4.8,9967,2009,Fiction,13.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2010,Non Fiction,2.0
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,2010,Non Fiction,14.0
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,2010,Non Fiction,21.0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,2010,Non Fiction,8.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,2010,Fiction,11.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,2010,Non Fiction,14.0
Cutting for Stone,Abraham Verghese,4.6,4866,2010,Fiction,11.0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,2010,Fiction,8.0
Decision Points,George W. Bush,4.6,2137,2010,Non Fiction,17.0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,2010,Non Fiction,15.0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,2010,Non Fiction,16.0
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,2010,Non Fiction,9.0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,2010,Non Fiction,9.0
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,2010,Non Fiction,20.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,2010,Non Fiction,14.0
Life,Keith Richards,4.5,2752,2010,Non Fiction,18.0
Little Bee: A Novel,Chris Cleave,4.1,1467,2010,Fiction,10.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,2010,Fiction,8.0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,2010,Non Fiction,20.0
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2010,Fiction,2.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,2010,Non Fiction,46.0
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,2010,Non Fiction,9.0
Sarah's Key,Tatiana de Rosnay,4.6,3619,2010,Fiction,10.0
Sh*t My Dad Says,Justin Halpern,4.7,1265,2010,Non Fiction,11.0
StrengthsFinder 2.0,Gallup,4.0,5069,2010,Non Fiction,17.0
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,2010,Non Fiction,13.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,2010,Non Fiction,20.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,2010,Non Fiction,28.0
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,2010,Fiction,10.0
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,2010,Non Fiction,17.0
The Confession: A Novel,John Grisham,4.3,3523,2010,Fiction,13.0
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,2010,Non Fiction,11.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,2010,Non Fiction,6.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,2010,Fiction,14.0
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,2010,Fiction,9.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2010,Fiction,2.0
The Help,Kathryn Stockett,4.8,13871,2010,Fiction,6.0
The Hunger Games,Suzanne Collins,4.7,32122,2010,Fiction,14.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,2010,Non Fiction,13.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,2010,Fiction,7.0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,2010,Fiction,14.0
The Official SAT Study Guide,The College Board,4.4,1201,2010,Non Fiction,40.0
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,2010,Fiction,12.0
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,2010,Non Fiction,14.0
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,2010,Fiction,0.0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,2010,Fiction,12.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,2010,Non Fiction,11.0
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,2010,Fiction,21.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,2010,Non Fiction,16.0
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,2010,Non Fiction,11.0
11/22/63: A Novel,Stephen King,4.6,2052,2011,Fiction,22.0
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,2011,Fiction,11.0
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,2011,Non Fiction,32.0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,2011,Fiction,0.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,2011,Fiction,11.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,2011,Non Fiction,14.0
Cutting for Stone,Abraham Verghese,4.6,4866,2011,Fiction,11.0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,2011,Fiction,4.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,2011,Non Fiction,9.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,2011,Fiction,5.0
Go the F**k to Sleep,Adam Mansbach,4.8,9568,2011,Fiction,9.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,2011,Non Fiction,14.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,2011,Non Fiction,10.0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,2011,Non Fiction,21.0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,2011,Fiction,20.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,2011,Non Fiction,8.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,2011,Non Fiction,10.0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,2011,Non Fiction,13.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,2011,Fiction,8.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,2011,Non Fiction,13.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,2011,Non Fiction,46.0
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,2011,Non Fiction,9.0
Steve Jobs,Walter Isaacson,4.6,7827,2011,Non Fiction,20.0
StrengthsFinder 2.0,Gallup,4.0,5069,2011,Non Fiction,17.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,2011,Non Fiction,20.0
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,2011,Non Fiction,22.0
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,2011,Non Fiction,21.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,2011,Non Fiction,28.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,2011,Non Fiction,24.0
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,2011,Fiction,10.0
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,2011,Non Fiction,21.0
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,2011,Non Fiction,15.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,2011,Non Fiction,6.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,2011,Fiction,14.0
The Help,Kathryn Stockett,4.8,13871,2011,Fiction,8.0
The Help,Kathryn Stockett,4.8,13871,2011,Fiction,7.0
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,2011,Fiction,8.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,2011,Fiction,30.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,2011,Non Fiction,9.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,2011,Non Fiction,13.0
The Litigators,John Grisham,4.4,6222,2011,Fiction,18.0
The Official SAT Study Guide,The College Board,4.4,1201,2011,Non Fiction,40.0
The Paris Wife: A Novel,Paula McLain,4.3,3759,2011,Fiction,16.0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,2011,Fiction,10.0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,2011,Fiction,10.0
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,2011,Non Fiction,19.0
Tina Fey: Bossypants,Tina Fey,4.3,5977,2011,Non Fiction,12.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,2011,Non Fiction,16.0
Water for Elephants: A Novel,Sara Gruen,4.5,8958,2011,Fiction,12.0
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,2011,Non Fiction,9.0
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,2012,Non Fiction,24.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,2012,Fiction,11.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,2012,Non Fiction,9.0
Fifty Shades Darker,E L James,4.4,23631,2012,Fiction,7.0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,2012,Fiction,11.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,2012,Fiction,14.0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,2012,Fiction,32.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,2012,Fiction,5.0
Gone Girl,Gillian Flynn,4.0,57271,2012,Fiction,10.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,2012,Non Fiction,14.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,2012,Fiction,7.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,2012,Non Fiction,10.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,2012,Non Fiction,8.0
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,2012,Non Fiction,25.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,2012,Non Fiction,10.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,2012,Fiction,8.0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,2012,Non Fiction,14.0
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,2012,Fiction,8.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,2012,Non Fiction,13.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,2012,Non Fiction,10.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,2012,Non Fiction,46.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,2012,Non Fiction,20.0
Steve Jobs,Walter Isaacson,4.6,7827,2012,Non Fiction,20.0
StrengthsFinder 2.0,Gallup,4.0,5069,2012,Non Fiction,17.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,2012,Non Fiction,28.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,2012,Non Fiction,24.0
The Amateur,Edward Klein,4.6,2580,2012,Non Fiction,9.0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,2012,Non Fiction,14.0
The Casual Vacancy,J.K. Rowling,3.3,9372,2012,Fiction,12.0
The Fault in Our Stars,John Green,4.7,50482,2012,Fiction,13.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,2012,Non Fiction,6.0
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,2012,Fiction,7.0
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,2012,Fiction,13.0
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,2012,Fiction,8.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,2012,Fiction,30.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,2012,Non Fiction,9.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,2012,Non Fiction,13.0
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,2012,Fiction,10.0
The Official SAT Study Guide,The College Board,4.4,1201,2012,Non Fiction,40.0
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,2012,Non Fiction,21.0
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,2012,Non Fiction,21.0
The Racketeer,John Grisham,4.3,14493,2012,Fiction,18.0
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,2012,Fiction,12.0
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,2012,Fiction,7.0
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,2012,Non Fiction,19.0
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,2012,Non Fiction,23.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,2012,Non Fiction,16.0
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,2012,Non Fiction,6.0
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,2012,Non Fiction,18.0
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,2012,Fiction,15.0
Allegiant,Veronica Roth,3.9,6310,2013,Fiction,13.0
And the Mountains Echoed,Khaled Hosseini,4.3,12159,2013,Fiction,13.0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,2013,Non Fiction,10.0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,2013,Non Fiction,13.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,2013,Non Fiction,105.0
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,2013,Fiction,0.0
Divergent,Veronica Roth,4.6,27098,2013,Fiction,15.0
Doctor Sleep: A Novel,Stephen King,4.7,15845,2013,Fiction,13.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,2013,Fiction,14.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,2013,Fiction,5.0
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,2013,Non Fiction,16.0
Gone Girl,Gillian Flynn,4.0,57271,2013,Fiction,10.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,2013,Fiction,7.0
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,2013,Non Fiction,11.0
Humans of New York,Brandon Stanton,4.8,3490,2013,Non Fiction,15.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,2013,Non Fiction,17.0
Inferno,Dan Brown,4.1,29651,2013,Fiction,14.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,2013,Non Fiction,8.0
Joyland (Hard Case Crime),Stephen King,4.5,4748,2013,Fiction,12.0
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,2013,Non Fiction,12.0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,2013,Non Fiction,4.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,2013,Non Fiction,4.0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,2013,Non Fiction,13.0
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,2013,Fiction,8.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,2013,Non Fiction,10.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,2013,Non Fiction,46.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,2013,Non Fiction,7.0
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,2013,Fiction,12.0
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,2013,Non Fiction,6.0
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,2013,Non Fiction,17.0
StrengthsFinder 2.0,Gallup,4.0,5069,2013,Non Fiction,17.0
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,2013,Fiction,18.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,2013,Non Fiction,28.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,2013,Non Fiction,24.0
The Book Thief,Markus Zusak,4.6,23148,2013,Fiction,6.0
The Day the Crayons Quit,Drew Daywalt,4.8,8922,2013,Fiction,9.0
The Fault in Our Stars,John Green,4.7,50482,2013,Fiction,13.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,2013,Non Fiction,6.0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,2013,Non Fiction,6.0
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,2013,Fiction,20.0
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,2013,Fiction,7.0
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,2013,Fiction,14.0
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,2013,Fiction,20.0
The Official SAT Study Guide,The College Board,4.4,1201,2013,Non Fiction,40.0
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,2013,Non Fiction,17.0
The Very Hungry Caterpillar,Eric Carle,4.9,19546,2013,Fiction,5.0
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,2013,Non Fiction,15.0
To Kill a Mockingbird,Harper Lee,4.8,26234,2013,Fiction,0.0
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,2013,Non Fiction,6.0
Wonder,R. J. Palacio,4.8,21625,2013,Fiction,9.0
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,2014,Fiction,30.0
All the Light We Cannot See,Anthony Doerr,4.6,36348,2014,Fiction,14.0
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,2014,Non Fiction,28.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,2014,Non Fiction,105.0
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,2014,Fiction,22.0
Divergent,Veronica Roth,4.6,27098,2014,Fiction,15.0
Divergent / Insurgent,Veronica Roth,4.5,17684,2014,Fiction,6.0
First 100 Words,Roger Priddy,4.7,17323,2014,Non Fiction,4.0
Frozen (Little Golden Book),RH Disney,4.7,3642,2014,Fiction,0.0
Gone Girl,Gillian Flynn,4.0,57271,2014,Fiction,9.0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,2014,Non Fiction,10.0
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,2014,Non Fiction,11.0
Humans of New York,Brandon Stanton,4.8,3490,2014,Non Fiction,15.0
If I Stay,Gayle Forman,4.3,7153,2014,Fiction,9.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,2014,Non Fiction,8.0
JOURNEY TO THE ICE P,RH Disney,4.6,978,2014,Fiction,0.0
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,2014,Non Fiction,6.0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,2014,Non Fiction,4.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,2014,Non Fiction,4.0
Little Blue Truck,Alice Schertle,4.9,1884,2014,Fiction,0.0
